timestamp_unix,topic,value
1783860902.224,/camera/frames_published,90609.000000
1783860902.234,/camera/frames_published,90610.000000
1783860902.244,/camera/frames_published,90611.000000
1783860902.254,/camera/frames_published,90612.000000
1783860902.264,/camera/frames_published,90613.000000
1783860902.274,/camera/frames_published,90614.000000
1783860902.284,/camera/frames_published,90615.000000
1783860902.294,/camera/frames_published,90616.000000
1783860902.305,/camera/frames_published,90617.000000
1783860902.315,/camera/frames_published,90618.000000
1783860902.325,/camera/frames_published,90619.000000
1783860902.335,/camera/frames_published,90620.000000
1783860902.356,/camera/frames_published,90621.000000
1783860902.366,/camera/frames_published,90622.000000
1783860902.376,/camera/frames_published,90623.000000
1783860902.386,/camera/frames_published,90624.000000
1783860902.407,/camera/frames_published,90625.000000
1783860902.407,/camera/frames_published,90626.000000
1783860902.417,/camera/frames_published,90627.000000
1783860902.427,/camera/frames_published,90628.000000
1783860902.446,/camera/frames_published,90629.000000
1783860902.446,/camera/frames_published,90630.000000
1783860902.456,/camera/frames_published,90631.000000
1783860902.466,/camera/frames_published,90632.000000
1783860902.476,/camera/frames_published,90633.000000
1783860902.486,/camera/frames_published,90634.000000
1783860902.496,/camera/frames_published,90635.000000
1783860902.506,/camera/frames_published,90636.000000
1783860902.518,/camera/frames_published,90637.000000
1783860902.527,/camera/frames_published,90638.000000
1783860902.538,/camera/frames_published,90639.000000
1783860902.548,/camera/frames_published,90640.000000
1783860902.587,/camera/frames_published,90641.000000
1783860902.587,/camera/frames_published,90642.000000
1783860902.598,/camera/frames_published,90643.000000
1783860902.609,/camera/frames_published,90644.000000
1783860902.619,/camera/frames_published,90645.000000
1783860902.629,/camera/frames_published,90646.000000
1783860902.640,/camera/frames_published,90647.000000
1783860902.651,/camera/frames_published,90648.000000
1783860902.661,/camera/frames_published,90649.000000
1783860902.672,/camera/frames_published,90650.000000
1783860902.692,/camera/frames_published,90651.000000
1783860902.703,/camera/frames_published,90652.000000
1783860902.703,/camera/frames_published,90653.000000
1783860902.713,/camera/frames_published,90654.000000
1783860902.723,/camera/frames_published,90655.000000
1783860902.733,/camera/frames_published,90656.000000
1783860902.743,/camera/frames_published,90657.000000
1783860902.753,/camera/frames_published,90658.000000
1783860902.763,/camera/frames_published,90659.000000
1783860902.773,/camera/frames_published,90660.000000
1783860902.783,/camera/frames_published,90661.000000
1783860902.793,/camera/frames_published,90662.000000
1783860902.803,/camera/frames_published,90663.000000
1783860902.812,/camera/frames_published,90664.000000
1783860902.822,/camera/frames_published,90665.000000
1783860902.832,/camera/frames_published,90666.000000
1783860902.851,/camera/frames_published,90667.000000
1783860902.851,/camera/frames_published,90668.000000
1783860902.861,/camera/frames_published,90669.000000
1783860902.871,/camera/frames_published,90670.000000
1783860902.881,/camera/frames_published,90671.000000
1783860902.890,/camera/frames_published,90672.000000
1783860902.899,/camera/frames_published,90673.000000
1783860902.910,/camera/frames_published,90674.000000
1783860902.920,/camera/frames_published,90675.000000
1783860902.929,/camera/frames_published,90676.000000
1783860902.938,/camera/frames_published,90677.000000
1783860902.948,/camera/frames_published,90678.000000
1783860902.959,/camera/frames_published,90679.000000
1783860902.977,/camera/frames_published,90680.000000
1783860902.978,/camera/frames_published,90681.000000
1783860902.987,/camera/frames_published,90682.000000
1783860902.996,/camera/frames_published,90683.000000
1783860903.006,/camera/frames_published,90684.000000
1783860903.018,/camera/frames_published,90685.000000
1783860903.026,/camera/frames_published,90686.000000
1783860903.045,/camera/frames_published,90687.000000
1783860903.046,/camera/frames_published,90688.000000
1783860903.055,/camera/frames_published,90689.000000
1783860903.064,/camera/frames_published,90690.000000
1783860903.073,/camera/frames_published,90691.000000
1783860903.082,/camera/frames_published,90692.000000
1783860903.091,/camera/frames_published,90693.000000
1783860903.100,/camera/frames_published,90694.000000
1783860903.109,/camera/frames_published,90695.000000
1783860903.118,/camera/frames_published,90696.000000
1783860903.128,/camera/frames_published,90697.000000
1783860903.137,/camera/frames_published,90698.000000
1783860903.146,/camera/frames_published,90699.000000
1783860903.154,/camera/frames_published,90700.000000
1783860903.164,/camera/frames_published,90701.000000
1783860903.173,/camera/frames_published,90702.000000
1783860903.182,/camera/frames_published,90703.000000
1783860903.191,/camera/frames_published,90704.000000
1783860903.200,/camera/frames_published,90705.000000
1783860903.209,/camera/frames_published,90706.000000
1783860903.218,/camera/frames_published,90707.000000
1783860903.227,/camera/frames_published,90708.000000
1783860903.235,/camera/frames_published,90709.000000
1783860903.243,/camera/frames_published,90710.000000
1783860903.252,/camera/frames_published,90711.000000
1783860903.260,/camera/frames_published,90712.000000
1783860903.269,/camera/frames_published,90713.000000
1783860903.277,/camera/frames_published,90714.000000
1783860903.286,/camera/frames_published,90715.000000
1783860903.301,/camera/frames_published,90716.000000
1783860903.302,/camera/frames_published,90717.000000
1783860903.310,/camera/frames_published,90718.000000
1783860903.318,/camera/frames_published,90719.000000
1783860903.327,/camera/frames_published,90720.000000
1783860903.335,/camera/frames_published,90721.000000
1783860903.343,/camera/frames_published,90722.000000
1783860903.352,/camera/frames_published,90723.000000
1783860903.360,/camera/frames_published,90724.000000
1783860903.369,/camera/frames_published,90725.000000
1783860903.378,/camera/frames_published,90726.000000
1783860903.386,/camera/frames_published,90727.000000
1783860903.395,/camera/frames_published,90728.000000
1783860903.403,/camera/frames_published,90729.000000
1783860903.411,/camera/frames_published,90730.000000
1783860903.420,/camera/frames_published,90731.000000
1783860903.428,/camera/frames_published,90732.000000
1783860903.436,/camera/frames_published,90733.000000
1783860903.444,/camera/frames_published,90734.000000
1783860903.452,/camera/frames_published,90735.000000
1783860903.461,/camera/frames_published,90736.000000
1783860903.468,/camera/frames_published,90737.000000
1783860903.477,/camera/frames_published,90738.000000
1783860903.485,/camera/frames_published,90739.000000
1783860903.494,/camera/frames_published,90740.000000
1783860903.502,/camera/frames_published,90741.000000
1783860903.510,/camera/frames_published,90742.000000
1783860903.525,/camera/frames_published,90743.000000
1783860903.529,/camera/frames_published,90744.000000
1783860903.534,/camera/frames_published,90745.000000
1783860903.542,/camera/frames_published,90746.000000
1783860903.550,/camera/frames_published,90747.000000
1783860903.558,/camera/frames_published,90748.000000
1783860903.566,/camera/frames_published,90749.000000
1783860903.575,/camera/frames_published,90750.000000
1783860903.583,/camera/frames_published,90751.000000
1783860903.592,/camera/frames_published,90752.000000
1783860903.599,/camera/frames_published,90753.000000
1783860903.608,/camera/frames_published,90754.000000
1783860903.616,/camera/frames_published,90755.000000
1783860903.624,/camera/frames_published,90756.000000
1783860903.633,/camera/frames_published,90757.000000
1783860903.641,/camera/frames_published,90758.000000
1783860903.657,/camera/frames_published,90759.000000
1783860903.658,/camera/frames_published,90760.000000
1783860903.666,/camera/frames_published,90761.000000
1783860903.674,/camera/frames_published,90762.000000
1783860903.682,/camera/frames_published,90763.000000
1783860903.691,/camera/frames_published,90764.000000
1783860903.698,/camera/frames_published,90765.000000
1783860903.707,/camera/frames_published,90766.000000
1783860903.716,/camera/frames_published,90767.000000
1783860903.724,/camera/frames_published,90768.000000
1783860903.732,/camera/frames_published,90769.000000
1783860903.740,/camera/frames_published,90770.000000
1783860903.757,/camera/frames_published,90771.000000
1783860903.757,/camera/frames_published,90772.000000
1783860903.765,/camera/frames_published,90773.000000
1783860903.782,/camera/frames_published,90774.000000
1783860903.782,/camera/frames_published,90775.000000
1783860903.790,/camera/frames_published,90776.000000
1783860903.798,/camera/frames_published,90777.000000
1783860903.806,/camera/frames_published,90778.000000
1783860903.815,/camera/frames_published,90779.000000
1783860903.824,/camera/frames_published,90780.000000
1783860903.832,/camera/frames_published,90781.000000
1783860903.840,/camera/frames_published,90782.000000
1783860903.849,/camera/frames_published,90783.000000
1783860903.857,/camera/frames_published,90784.000000
1783860903.866,/camera/frames_published,90785.000000
1783860903.874,/camera/frames_published,90786.000000
1783860903.883,/camera/frames_published,90787.000000
1783860903.891,/camera/frames_published,90788.000000
1783860903.899,/camera/frames_published,90789.000000
1783860903.908,/camera/frames_published,90790.000000
1783860903.916,/camera/frames_published,90791.000000
1783860903.924,/camera/frames_published,90792.000000
1783860903.933,/camera/frames_published,90793.000000
1783860903.942,/camera/frames_published,90794.000000
1783860903.951,/camera/frames_published,90795.000000
1783860903.960,/camera/frames_published,90796.000000
1783860903.991,/camera/frames_published,90797.000000
1783860903.992,/camera/frames_published,90798.000000
1783860904.007,/camera/frames_published,90799.000000
1783860904.015,/camera/frames_published,90800.000000
1783860904.033,/camera/frames_published,90801.000000
1783860904.033,/camera/frames_published,90802.000000
1783860904.042,/camera/frames_published,90803.000000
1783860904.061,/camera/frames_published,90804.000000
1783860904.061,/camera/frames_published,90805.000000
1783860904.070,/camera/frames_published,90806.000000
1783860904.080,/camera/frames_published,90807.000000
1783860904.089,/camera/frames_published,90808.000000
1783860904.098,/camera/frames_published,90809.000000
1783860904.108,/camera/frames_published,90810.000000
1783860904.118,/camera/frames_published,90811.000000
1783860904.126,/camera/frames_published,90812.000000
1783860904.136,/camera/frames_published,90813.000000
1783860904.145,/camera/frames_published,90814.000000
1783860904.155,/camera/frames_published,90815.000000
1783860904.164,/camera/frames_published,90816.000000
1783860904.175,/camera/frames_published,90817.000000
1783860904.183,/camera/frames_published,90818.000000
1783860904.193,/camera/frames_published,90819.000000
1783860904.202,/camera/frames_published,90820.000000
1783860904.211,/camera/frames_published,90821.000000
1783860904.220,/camera/frames_published,90822.000000
1783860904.229,/camera/frames_published,90823.000000
1783860904.239,/camera/frames_published,90824.000000
1783860904.248,/camera/frames_published,90825.000000
1783860904.267,/camera/frames_published,90826.000000
1783860904.268,/camera/frames_published,90827.000000
1783860904.276,/camera/frames_published,90828.000000
1783860904.287,/camera/frames_published,90829.000000
1783860904.295,/camera/frames_published,90830.000000
1783860904.305,/camera/frames_published,90831.000000
1783860904.314,/camera/frames_published,90832.000000
1783860904.323,/camera/frames_published,90833.000000
1783860904.333,/camera/frames_published,90834.000000
1783860904.342,/camera/frames_published,90835.000000
1783860904.351,/camera/frames_published,90836.000000
1783860904.360,/camera/frames_published,90837.000000
1783860904.370,/camera/frames_published,90838.000000
1783860904.379,/camera/frames_published,90839.000000
1783860904.389,/camera/frames_published,90840.000000
1783860904.398,/camera/frames_published,90841.000000
1783860904.417,/camera/frames_published,90842.000000
1783860904.417,/camera/frames_published,90843.000000
1783860904.427,/camera/frames_published,90844.000000
1783860904.435,/camera/frames_published,90845.000000
1783860904.444,/camera/frames_published,90846.000000
1783860904.454,/camera/frames_published,90847.000000
1783860904.463,/camera/frames_published,90848.000000
1783860904.472,/camera/frames_published,90849.000000
1783860904.481,/camera/frames_published,90850.000000
1783860904.490,/camera/frames_published,90851.000000
1783860904.499,/camera/frames_published,90852.000000
1783860904.508,/camera/frames_published,90853.000000
1783860904.526,/camera/frames_published,90854.000000
1783860904.540,/camera/frames_published,90855.000000
1783860904.540,/camera/frames_published,90856.000000
1783860904.545,/camera/frames_published,90857.000000
1783860904.554,/camera/frames_published,90858.000000
1783860904.563,/camera/frames_published,90859.000000
1783860904.572,/camera/frames_published,90860.000000
1783860904.580,/camera/frames_published,90861.000000
1783860904.590,/camera/frames_published,90862.000000
1783860904.599,/camera/frames_published,90863.000000
1783860904.608,/camera/frames_published,90864.000000
1783860904.627,/camera/frames_published,90865.000000
1783860904.628,/camera/frames_published,90866.000000
1783860904.636,/camera/frames_published,90867.000000
1783860904.644,/camera/frames_published,90868.000000
1783860904.661,/camera/frames_published,90869.000000
1783860904.661,/camera/frames_published,90870.000000
1783860904.670,/camera/frames_published,90871.000000
1783860904.678,/camera/frames_published,90872.000000
1783860904.687,/camera/frames_published,90873.000000
1783860904.697,/camera/frames_published,90874.000000
1783860904.706,/camera/frames_published,90875.000000
1783860904.716,/camera/frames_published,90876.000000
1783860904.726,/camera/frames_published,90877.000000
1783860904.734,/camera/frames_published,90878.000000
1783860904.742,/camera/frames_published,90879.000000
1783860904.751,/camera/frames_published,90880.000000
1783860904.760,/camera/frames_published,90881.000000
1783860904.769,/camera/frames_published,90882.000000
1783860904.777,/camera/frames_published,90883.000000
1783860904.786,/camera/frames_published,90884.000000
1783860904.795,/camera/frames_published,90885.000000
1783860904.804,/camera/frames_published,90886.000000
1783860904.813,/camera/frames_published,90887.000000
1783860904.823,/camera/frames_published,90888.000000
1783860904.831,/camera/frames_published,90889.000000
1783860904.840,/camera/frames_published,90890.000000
1783860904.849,/camera/frames_published,90891.000000
1783860904.858,/camera/frames_published,90892.000000
1783860904.867,/camera/frames_published,90893.000000
1783860904.877,/camera/frames_published,90894.000000
1783860904.887,/camera/frames_published,90895.000000
1783860904.897,/camera/frames_published,90896.000000
1783860904.906,/camera/frames_published,90897.000000
1783860904.915,/camera/frames_published,90898.000000
1783860904.924,/camera/frames_published,90899.000000
1783860904.933,/camera/frames_published,90900.000000
1783860904.942,/camera/frames_published,90901.000000
1783860904.951,/camera/frames_published,90902.000000
1783860904.960,/camera/frames_published,90903.000000
1783860904.969,/camera/frames_published,90904.000000
1783860904.978,/camera/frames_published,90905.000000
1783860904.987,/camera/frames_published,90906.000000
1783860904.997,/camera/frames_published,90907.000000
1783860905.006,/camera/frames_published,90908.000000
1783860905.015,/camera/frames_published,90909.000000
1783860905.025,/camera/frames_published,90910.000000
1783860905.029,/camera/frames_published,90911.000000
1783860905.039,/camera/frames_published,90912.000000
1783860905.047,/camera/frames_published,90913.000000
1783860905.056,/camera/frames_published,90914.000000
1783860905.065,/camera/frames_published,90915.000000
1783860905.074,/camera/frames_published,90916.000000
1783860905.084,/camera/frames_published,90917.000000
1783860905.093,/camera/frames_published,90918.000000
1783860905.103,/camera/frames_published,90919.000000
1783860905.112,/camera/frames_published,90920.000000
1783860905.120,/camera/frames_published,90921.000000
1783860905.129,/camera/frames_published,90922.000000
1783860905.137,/camera/frames_published,90923.000000
1783860905.146,/camera/frames_published,90924.000000
1783860905.155,/camera/frames_published,90925.000000
1783860905.164,/camera/frames_published,90926.000000
1783860905.183,/camera/frames_published,90927.000000
1783860905.184,/camera/frames_published,90928.000000
1783860905.193,/camera/frames_published,90929.000000
1783860905.202,/camera/frames_published,90930.000000
1783860905.211,/camera/frames_published,90931.000000
1783860905.220,/camera/frames_published,90932.000000
1783860905.229,/camera/frames_published,90933.000000
1783860905.238,/camera/frames_published,90934.000000
1783860905.257,/camera/frames_published,90935.000000
1783860905.257,/camera/frames_published,90936.000000
1783860905.265,/camera/frames_published,90937.000000
1783860905.275,/camera/frames_published,90938.000000
1783860905.285,/camera/frames_published,90939.000000
1783860905.293,/camera/frames_published,90940.000000
1783860905.303,/camera/frames_published,90941.000000
1783860905.313,/camera/frames_published,90942.000000
1783860905.322,/camera/frames_published,90943.000000
1783860905.331,/camera/frames_published,90944.000000
1783860905.339,/camera/frames_published,90945.000000
1783860905.348,/camera/frames_published,90946.000000
1783860905.357,/camera/frames_published,90947.000000
1783860905.366,/camera/frames_published,90948.000000
1783860905.375,/camera/frames_published,90949.000000
1783860905.384,/camera/frames_published,90950.000000
1783860905.393,/camera/frames_published,90951.000000
1783860905.402,/camera/frames_published,90952.000000
1783860905.411,/camera/frames_published,90953.000000
1783860905.419,/camera/frames_published,90954.000000
1783860905.428,/camera/frames_published,90955.000000
1783860905.437,/camera/frames_published,90956.000000
1783860905.445,/camera/frames_published,90957.000000
1783860905.454,/camera/frames_published,90958.000000
1783860905.461,/camera/frames_published,90959.000000
1783860905.479,/camera/frames_published,90960.000000
1783860905.479,/camera/frames_published,90961.000000
1783860905.487,/camera/frames_published,90962.000000
1783860905.496,/camera/frames_published,90963.000000
1783860905.505,/camera/frames_published,90964.000000
1783860905.514,/camera/frames_published,90965.000000
1783860905.528,/camera/frames_published,90966.000000
1783860905.529,/camera/frames_published,90967.000000
1783860905.538,/camera/frames_published,90968.000000
1783860905.546,/camera/frames_published,90969.000000
1783860905.555,/camera/frames_published,90970.000000
1783860905.564,/camera/frames_published,90971.000000
1783860905.573,/camera/frames_published,90972.000000
1783860905.581,/camera/frames_published,90973.000000
1783860905.590,/camera/frames_published,90974.000000
1783860905.598,/camera/frames_published,90975.000000
1783860905.607,/camera/frames_published,90976.000000
1783860905.616,/camera/frames_published,90977.000000
1783860905.624,/camera/frames_published,90978.000000
1783860905.632,/camera/frames_published,90979.000000
1783860905.641,/camera/frames_published,90980.000000
1783860905.650,/camera/frames_published,90981.000000
1783860905.668,/camera/frames_published,90982.000000
1783860905.668,/camera/frames_published,90983.000000
1783860905.677,/camera/frames_published,90984.000000
1783860905.695,/camera/frames_published,90985.000000
1783860905.695,/camera/frames_published,90986.000000
1783860905.703,/camera/frames_published,90987.000000
1783860905.712,/camera/frames_published,90988.000000
1783860905.729,/camera/frames_published,90989.000000
1783860905.729,/camera/frames_published,90990.000000
1783860905.740,/camera/frames_published,90991.000000
1783860905.750,/camera/frames_published,90992.000000
1783860905.762,/camera/frames_published,90993.000000
1783860905.771,/camera/frames_published,90994.000000
1783860905.799,/camera/frames_published,90995.000000
1783860905.808,/camera/frames_published,90996.000000
1783860905.819,/camera/frames_published,90997.000000
1783860905.828,/camera/frames_published,90998.000000
1783860905.837,/camera/frames_published,90999.000000
1783860905.846,/camera/frames_published,91000.000000
1783860905.857,/camera/frames_published,91001.000000
1783860905.866,/camera/frames_published,91002.000000
1783860905.877,/camera/frames_published,91003.000000
1783860905.886,/camera/frames_published,91004.000000
1783860905.896,/camera/frames_published,91005.000000
1783860905.906,/camera/frames_published,91006.000000
1783860905.926,/camera/frames_published,91007.000000
1783860905.926,/camera/frames_published,91008.000000
1783860905.936,/camera/frames_published,91009.000000
1783860905.945,/camera/frames_published,91010.000000
1783860905.954,/camera/frames_published,91011.000000
1783860905.963,/camera/frames_published,91012.000000
1783860905.973,/camera/frames_published,91013.000000
1783860905.982,/camera/frames_published,91014.000000
1783860905.992,/camera/frames_published,91015.000000
1783860906.001,/camera/frames_published,91016.000000
1783860906.011,/camera/frames_published,91017.000000
1783860906.034,/camera/frames_published,91018.000000
1783860906.045,/camera/frames_published,91019.000000
1783860906.054,/camera/frames_published,91020.000000
1783860906.063,/camera/frames_published,91021.000000
1783860906.072,/camera/frames_published,91022.000000
1783860906.082,/camera/frames_published,91023.000000
1783860906.091,/camera/frames_published,91024.000000
1783860906.101,/camera/frames_published,91025.000000
1783860906.110,/camera/frames_published,91026.000000
1783860906.120,/camera/frames_published,91027.000000
1783860906.130,/camera/frames_published,91028.000000
1783860906.140,/camera/frames_published,91029.000000
1783860906.150,/camera/frames_published,91030.000000
1783860906.160,/camera/frames_published,91031.000000
1783860906.170,/camera/frames_published,91032.000000
1783860906.182,/camera/frames_published,91033.000000
1783860906.193,/camera/frames_published,91034.000000
1783860906.204,/camera/frames_published,91035.000000
1783860906.215,/camera/frames_published,91036.000000
1783860906.224,/camera/frames_published,91037.000000
1783860906.234,/camera/frames_published,91038.000000
1783860906.243,/camera/frames_published,91039.000000
1783860906.252,/camera/frames_published,91040.000000
1783860906.261,/camera/frames_published,91041.000000
1783860906.270,/camera/frames_published,91042.000000
1783860906.288,/camera/frames_published,91043.000000
1783860906.298,/camera/frames_published,91044.000000
1783860906.305,/camera/frames_published,91045.000000
1783860906.312,/camera/frames_published,91046.000000
1783860906.318,/camera/frames_published,91047.000000
1783860906.324,/camera/frames_published,91048.000000
1783860906.330,/camera/frames_published,91049.000000
1783860906.337,/camera/frames_published,91050.000000
1783860906.344,/camera/frames_published,91051.000000
1783860906.351,/camera/frames_published,91052.000000
1783860906.357,/camera/frames_published,91053.000000
1783860906.364,/camera/frames_published,91054.000000
1783860906.369,/camera/frames_published,91055.000000
1783860906.377,/camera/frames_published,91056.000000
1783860906.387,/camera/frames_published,91057.000000
1783860906.394,/camera/frames_published,91058.000000
1783860906.401,/camera/frames_published,91059.000000
1783860906.409,/camera/frames_published,91060.000000
1783860906.416,/camera/frames_published,91061.000000
1783860906.431,/camera/frames_published,91062.000000
1783860906.432,/camera/frames_published,91063.000000
1783860906.439,/camera/frames_published,91064.000000
1783860906.446,/camera/frames_published,91065.000000
1783860906.452,/camera/frames_published,91066.000000
1783860906.458,/camera/frames_published,91067.000000
1783860906.465,/camera/frames_published,91068.000000
1783860906.471,/camera/frames_published,91069.000000
1783860906.477,/camera/frames_published,91070.000000
1783860906.483,/camera/frames_published,91071.000000
1783860906.490,/camera/frames_published,91072.000000
1783860906.498,/camera/frames_published,91073.000000
1783860906.505,/camera/frames_published,91074.000000
1783860906.511,/camera/frames_published,91075.000000
1783860906.520,/camera/frames_published,91076.000000
1783860906.526,/camera/frames_published,91077.000000
1783860906.531,/camera/frames_published,91078.000000
1783860906.537,/camera/frames_published,91079.000000
1783860906.559,/camera/frames_published,91080.000000
1783860906.569,/camera/frames_published,91081.000000
1783860906.579,/camera/frames_published,91082.000000
1783860906.590,/camera/frames_published,91083.000000
1783860906.608,/camera/frames_published,91084.000000
1783860906.609,/camera/frames_published,91085.000000
1783860906.617,/camera/frames_published,91086.000000
1783860906.625,/camera/frames_published,91087.000000
1783860906.635,/camera/frames_published,91088.000000
1783860906.645,/camera/frames_published,91089.000000
1783860906.654,/camera/frames_published,91090.000000
1783860906.663,/camera/frames_published,91091.000000
1783860906.672,/camera/frames_published,91092.000000
1783860906.682,/camera/frames_published,91093.000000
1783860906.691,/camera/frames_published,91094.000000
1783860906.700,/camera/frames_published,91095.000000
1783860906.710,/camera/frames_published,91096.000000
1783860906.718,/camera/frames_published,91097.000000
1783860906.726,/camera/frames_published,91098.000000
1783860906.733,/camera/frames_published,91099.000000
1783860906.741,/camera/frames_published,91100.000000
1783860906.749,/camera/frames_published,91101.000000
1783860906.757,/camera/frames_published,91102.000000
1783860906.766,/camera/frames_published,91103.000000
1783860906.781,/camera/frames_published,91104.000000
1783860906.790,/camera/frames_published,91105.000000
1783860906.798,/camera/frames_published,91106.000000
1783860906.814,/camera/frames_published,91107.000000
1783860906.814,/camera/frames_published,91108.000000
1783860906.821,/camera/frames_published,91109.000000
1783860906.829,/camera/frames_published,91110.000000
1783860906.837,/camera/frames_published,91111.000000
1783860906.844,/camera/frames_published,91112.000000
1783860906.852,/camera/frames_published,91113.000000
1783860906.863,/camera/frames_published,91114.000000
1783860906.874,/camera/frames_published,91115.000000
1783860906.895,/camera/frames_published,91116.000000
1783860906.895,/camera/frames_published,91117.000000
1783860906.911,/camera/frames_published,91118.000000
1783860906.918,/camera/frames_published,91119.000000
1783860906.927,/camera/frames_published,91120.000000
1783860906.936,/camera/frames_published,91121.000000
1783860906.943,/camera/frames_published,91122.000000
1783860906.951,/camera/frames_published,91123.000000
1783860906.960,/camera/frames_published,91124.000000
1783860906.978,/camera/frames_published,91125.000000
1783860906.986,/camera/frames_published,91126.000000
1783860906.994,/camera/frames_published,91127.000000
1783860907.003,/camera/frames_published,91128.000000
1783860907.011,/camera/frames_published,91129.000000
1783860907.024,/camera/frames_published,91130.000000
1783860907.026,/camera/frames_published,91131.000000
1783860907.034,/camera/frames_published,91132.000000
1783860907.042,/camera/frames_published,91133.000000
1783860907.050,/camera/frames_published,91134.000000
1783860907.067,/camera/frames_published,91135.000000
1783860907.067,/camera/frames_published,91136.000000
1783860907.074,/camera/frames_published,91137.000000
1783860907.082,/camera/frames_published,91138.000000
1783860907.090,/camera/frames_published,91139.000000
1783860907.104,/camera/frames_published,91140.000000
1783860907.113,/camera/frames_published,91141.000000
1783860907.130,/camera/frames_published,91142.000000
1783860907.138,/camera/frames_published,91143.000000
1783860907.146,/camera/frames_published,91144.000000
1783860907.163,/camera/frames_published,91145.000000
1783860907.163,/camera/frames_published,91146.000000
1783860907.170,/camera/frames_published,91147.000000
1783860907.178,/camera/frames_published,91148.000000
1783860907.195,/camera/frames_published,91149.000000
1783860907.195,/camera/frames_published,91150.000000
1783860907.204,/camera/frames_published,91151.000000
1783860907.215,/camera/frames_published,91152.000000
1783860907.222,/camera/frames_published,91153.000000
1783860907.231,/camera/frames_published,91154.000000
1783860907.242,/camera/frames_published,91155.000000
1783860907.252,/camera/frames_published,91156.000000
1783860907.263,/camera/frames_published,91157.000000
1783860907.273,/camera/frames_published,91158.000000
1783860907.284,/camera/frames_published,91159.000000
1783860907.295,/camera/frames_published,91160.000000
1783860907.306,/camera/frames_published,91161.000000
1783860907.316,/camera/frames_published,91162.000000
1783860907.343,/camera/frames_published,91163.000000
1783860907.353,/camera/frames_published,91164.000000
1783860907.363,/camera/frames_published,91165.000000
1783860907.374,/camera/frames_published,91166.000000
1783860907.384,/camera/frames_published,91167.000000
1783860907.394,/camera/frames_published,91168.000000
1783860907.415,/camera/frames_published,91169.000000
1783860907.415,/camera/frames_published,91170.000000
1783860907.425,/camera/frames_published,91171.000000
1783860907.434,/camera/frames_published,91172.000000
1783860907.444,/camera/frames_published,91173.000000
1783860907.454,/camera/frames_published,91174.000000
1783860907.464,/camera/frames_published,91175.000000
1783860907.475,/camera/frames_published,91176.000000
1783860907.485,/camera/frames_published,91177.000000
1783860907.496,/camera/frames_published,91178.000000
1783860907.505,/camera/frames_published,91179.000000
1783860907.516,/camera/frames_published,91180.000000
1783860907.537,/camera/frames_published,91181.000000
1783860907.537,/camera/frames_published,91182.000000
1783860907.547,/camera/frames_published,91183.000000
1783860907.557,/camera/frames_published,91184.000000
1783860907.568,/camera/frames_published,91185.000000
1783860907.589,/camera/frames_published,91186.000000
1783860907.590,/camera/frames_published,91187.000000
1783860907.599,/camera/frames_published,91188.000000
1783860907.626,/camera/frames_published,91189.000000
1783860907.637,/camera/frames_published,91190.000000
1783860907.646,/camera/frames_published,91191.000000
1783860907.657,/camera/frames_published,91192.000000
1783860907.668,/camera/frames_published,91193.000000
1783860907.679,/camera/frames_published,91194.000000
1783860907.700,/camera/frames_published,91195.000000
1783860907.700,/camera/frames_published,91196.000000
1783860907.721,/camera/frames_published,91197.000000
1783860907.721,/camera/frames_published,91198.000000
1783860907.731,/camera/frames_published,91199.000000
1783860907.741,/camera/frames_published,91200.000000
1783860907.752,/camera/frames_published,91201.000000
1783860907.761,/camera/frames_published,91202.000000
1783860907.771,/camera/frames_published,91203.000000
1783860907.782,/camera/frames_published,91204.000000
1783860907.792,/camera/frames_published,91205.000000
1783860907.802,/camera/frames_published,91206.000000
1783860907.813,/camera/frames_published,91207.000000
1783860907.823,/camera/frames_published,91208.000000
1783860907.834,/camera/frames_published,91209.000000
1783860907.844,/camera/frames_published,91210.000000
1783860907.855,/camera/frames_published,91211.000000
1783860907.864,/camera/frames_published,91212.000000
1783860907.900,/camera/frames_published,91213.000000
1783860907.901,/camera/frames_published,91214.000000
