regime,cycle,started_at,finished_at,exit_code
warm,1,2026-07-09T15:06:01Z,2026-07-09T16:15:25Z,0
warm,2,2026-07-09T16:30:25Z,2026-07-09T17:18:15Z,0
warm,3,2026-07-09T17:33:15Z,2026-07-09T18:25:11Z,0
warm,4,2026-07-09T18:40:11Z,2026-07-09T19:31:49Z,0
warm,5,2026-07-09T19:46:49Z,2026-07-09T20:34:59Z,0
image-cold,1,2026-07-09T20:49:59Z,2026-07-09T22:01:44Z,0
image-cold,2,2026-07-09T22:16:44Z,2026-07-10T06:40:47Z,0
image-cold,3,2026-07-10T06:55:47Z,2026-07-10T08:09:36Z,0
pristine,1,2026-07-10T08:24:36Z,2026-07-10T09:36:24Z,0
pristine,2,2026-07-10T09:51:24Z,2026-07-10T11:04:03Z,0
pristine,3,2026-07-10T11:19:03Z,2026-07-10T13:43:27Z,0
