trigger_interval_s,cycle,warmup_s,sample_s,started_at,finished_at,exit_code
30,1,600,180,2026-07-11T17:18:08Z,2026-07-11T19:03:50Z,0
30,2,600,180,2026-07-11T19:18:50Z,2026-07-11T20:40:18Z,0
30,3,600,180,2026-07-11T20:55:18Z,2026-07-11T22:16:21Z,0
60,1,600,180,2026-07-11T22:31:21Z,2026-07-11T23:56:26Z,0
60,2,600,180,2026-07-12T00:11:26Z,2026-07-12T01:33:42Z,0
60,3,600,180,2026-07-12T01:48:42Z,2026-07-12T03:10:53Z,0
120,1,600,240,2026-07-12T03:25:53Z,2026-07-12T04:50:44Z,0
120,2,600,240,2026-07-12T05:05:44Z,2026-07-12T06:30:53Z,0
120,3,600,240,2026-07-12T06:45:53Z,2026-07-12T08:15:59Z,0
300,1,900,600,2026-07-12T08:30:59Z,2026-07-12T10:40:29Z,0
300,2,900,600,2026-07-12T10:55:29Z,2026-07-12T13:07:00Z,0
300,3,900,600,2026-07-12T13:22:00Z,2026-07-12T15:13:10Z,0
