metric,value,unit,source
T_inf_avg,76.3,ms,dashboard_55s_uptime
f_FPS_theor,13.1,fps,dashboard
f_FPS_pub,5.6,fps,dashboard
T_e2e_avg,882,ms,dashboard
T_e2e_max,9391,ms,dashboard
T_ready_loop,0.57,s,dashboard
J_inf,73.3,ms,dashboard
U_CPU_avg,23.2,%,dashboard
U_CPU_max,38.0,%,dashboard
U_GPU_avg,47.5,%,dashboard
U_GPU_max,99.8,%,dashboard
U_RAM_avg,32.5,%,dashboard
U_RAM_max,32.5,%,dashboard
L_IO_read,0.00,MB/s,dashboard
L_IO_write,0.00,MB/s,dashboard
yolo_latency,216.2,ms,dashboard
yolo_inference,124.1,ms,dashboard
yolo_detections,2,count,real_chair_detection
llava_latency,17686,ms,dashboard
llava_inference,17608,ms,dashboard
camera_mode,real,/dev/video1,verified
camera_resolution,1280x720,pixels,dashboard
voxtral_mode,TEXT_SIMULATION,fallback,transformers_4.48
