cycle,module,op,latency_s,status,rss_kb,vmsize_kb,mem_available_kb,components_loaded,timestamp
0,all,baseline,0,OK,2848,4560,45679996,"{"loaded":[{"unique_id":1;"full_node_name":"ComponentManager"};{"unique_id":2;"full_node_name":"ComponentManager"};{"unique_id":3;"full_node_name":"ComponentManager"};{"unique_id":4;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":2;"llava":3;"voxtral":4};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:37:55Z
1,yolo,unload,0.31,OK,2848,4560,45703272,"{"loaded":[];"tracked":{"camera":1;"llava":3;"voxtral":4};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:38:02Z
1,yolo,load,5.32,OK,2868,4560,52224832,"{"loaded":[{"unique_id":1;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"llava":3;"voxtral":4;"yolo":1};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:38:13Z
1,llava,unload,0.27,FAIL,2868,4560,52207076,"{"loaded":[{"unique_id":1;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"llava":3;"voxtral":4;"yolo":1};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:38:19Z
1,llava,unload_retry,0.28,FAIL_PERSISTENT,2868,4560,52201296,"{"loaded":[{"unique_id":1;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"llava":3;"voxtral":4;"yolo":1};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:38:35Z
1,llava,load,0.25,OK,2868,4560,52196832,"{"loaded":[{"unique_id":1;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"llava":3;"voxtral":4;"yolo":1};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:38:41Z
1,voxtral,unload,0.26,FAIL,2868,4560,52189420,"{"loaded":[{"unique_id":1;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"llava":3;"voxtral":4;"yolo":1};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:38:47Z
1,voxtral,unload_retry,0.26,FAIL_PERSISTENT,2868,4560,52202784,"{"loaded":[{"unique_id":1;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"llava":3;"voxtral":4;"yolo":1};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:39:03Z
1,voxtral,load,0.28,OK,2868,4560,52190972,"{"loaded":[{"unique_id":1;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"llava":3;"voxtral":4;"yolo":1};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:39:09Z
2,yolo,unload,0.30,OK,2868,4560,52185728,"{"loaded":[];"tracked":{"camera":1;"llava":3;"voxtral":4};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:39:15Z
2,yolo,load,0.58,OK,2868,4560,52171652,"{"loaded":[{"unique_id":2;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"llava":3;"voxtral":4;"yolo":2};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:39:22Z
