metric,value,unit,source
T_inf_avg,32.7,ms,dashboard_26min
f_FPS_theor,30.6,fps,dashboard_26min
f_FPS_pub,10.2,fps,dashboard_26min
T_e2e_avg,6089,ms,dashboard_26min
T_e2e_max,59993,ms,dashboard_26min
T_ready_loop,0.12,s,dashboard_26min
J_inf,8.5,ms,dashboard_26min
U_CPU_avg,21.2,%,dashboard_26min
U_CPU_max,45.3,%,dashboard_26min
U_GPU_avg,51.7,%,dashboard_26min
U_GPU_max,99.9,%,dashboard_26min
U_RAM_avg,33.3,%,dashboard_26min
U_RAM_max,33.7,%,dashboard_26min
L_IO_read,0.12,MB/s,dashboard_26min
L_IO_write,0.03,MB/s,dashboard_26min
yolo_latency,107.3,ms,dashboard_26min
yolo_inference,43.2,ms,dashboard_26min
llava_latency,12950,ms,dashboard_26min
llava_inference,12925,ms,dashboard_26min
T_ready_system,160,s,kubectl_conditions_warm
T_ready_runtime,40,s,kubectl_conditions_warm
T_ready_dashboard,69,s,kubectl_conditions_warm
T_ready_overlay_server,2,s,kubectl_conditions_warm
runtime_cpu_steady,1235,m,kubectl_top
runtime_mem_steady,17264,MiB,kubectl_top
S_img_total,27.54,GB,events_log
S_img_ros2_base,2.24,GB,events_log
S_img_overlay_pack,25.05,GB,events_log
S_img_dashboard,0.25,GB,events_log
overlay_extracted_size,34,GB,du_sh
