pattern,rep,stage,seconds,status,notes
monolithic,1,t_publish,NA,SKIP,"artefacto pre-publicado (tag update-test)"
monolithic,1,t_rollout,1.40,OK,"helm upgrade --set image.tag=update-test"
monolithic,1,t_ready,113.53,OK,"incluye pull de la imagen nueva"
monolithic,1,t_gap_max,NA,OK,"hueco max en /benchmark/latency_ms (interrupcion percibida)"
monolithic,1,t_rollback,74.27,OK,"helm rollback"
monolithic,2,t_publish,NA,SKIP,"artefacto pre-publicado (tag update-test)"
monolithic,2,t_rollout,1.39,OK,"helm upgrade --set image.tag=update-test"
monolithic,2,t_ready,73.16,OK,"incluye pull de la imagen nueva"
monolithic,2,t_gap_max,NA,OK,"hueco max en /benchmark/latency_ms (interrupcion percibida)"
monolithic,2,t_rollback,73.95,OK,"helm rollback"
monolithic,3,t_publish,NA,SKIP,"artefacto pre-publicado (tag update-test)"
monolithic,3,t_rollout,1.43,OK,"helm upgrade --set image.tag=update-test"
monolithic,3,t_ready,73.17,OK,"incluye pull de la imagen nueva"
monolithic,3,t_gap_max,NA,OK,"hueco max en /benchmark/latency_ms (interrupcion percibida)"
monolithic,3,t_rollback,74.10,OK,"helm rollback"
