pattern,rep,stage,seconds,status,notes
microservices,1,t_publish,NA,SKIP,"artefacto pre-publicado (tag update-test)"
microservices,1,t_rollout,1.68,OK,"helm upgrade --set images.yolo.tag=update-test"
microservices,1,t_ready,71.94,OK,"incluye pull de la imagen nueva"
microservices,1,t_gap_max,NA,OK,"hueco max en /benchmark/latency_ms (interrupcion percibida)"
microservices,1,t_rollback,73.30,OK,"helm rollback"
microservices,2,t_publish,NA,SKIP,"artefacto pre-publicado (tag update-test)"
microservices,2,t_rollout,1.74,OK,"helm upgrade --set images.yolo.tag=update-test"
microservices,2,t_ready,72.22,OK,"incluye pull de la imagen nueva"
microservices,2,t_gap_max,NA,OK,"hueco max en /benchmark/latency_ms (interrupcion percibida)"
microservices,2,t_rollback,73.28,OK,"helm rollback"
microservices,3,t_publish,NA,SKIP,"artefacto pre-publicado (tag update-test)"
microservices,3,t_rollout,1.83,OK,"helm upgrade --set images.yolo.tag=update-test"
microservices,3,t_ready,72.39,OK,"incluye pull de la imagen nueva"
microservices,3,t_gap_max,NA,OK,"hueco max en /benchmark/latency_ms (interrupcion percibida)"
microservices,3,t_rollback,73.30,OK,"helm rollback"
