pattern,rep,stage,seconds,status,notes
dynamic-loader,1,t_publish,NA,SKIP,"artefacto pre-publicado (tag n/a)"
dynamic-loader,1,t_transfer,NA,SKIP,"sin NEW_WEIGHTS_LOCAL; se recarga el mismo model_path"
dynamic-loader,1,t_rollout,3.16,OK,"unload+load via orchestrator"
dynamic-loader,1,t_ready,0.00,OK,"sin pods nuevos: el swap es intra-proceso"
dynamic-loader,1,t_gap_max,NA,OK,"hueco max en /benchmark/latency_ms (interrupcion percibida)"
dynamic-loader,1,t_rollback,2.68,OK,"reload pesos originales"
dynamic-loader,2,t_publish,NA,SKIP,"artefacto pre-publicado (tag n/a)"
dynamic-loader,2,t_transfer,NA,SKIP,"sin NEW_WEIGHTS_LOCAL; se recarga el mismo model_path"
dynamic-loader,2,t_rollout,2.82,OK,"unload+load via orchestrator"
dynamic-loader,2,t_ready,0.00,OK,"sin pods nuevos: el swap es intra-proceso"
dynamic-loader,2,t_gap_max,NA,OK,"hueco max en /benchmark/latency_ms (interrupcion percibida)"
dynamic-loader,2,t_rollback,2.76,OK,"reload pesos originales"
dynamic-loader,3,t_publish,NA,SKIP,"artefacto pre-publicado (tag n/a)"
dynamic-loader,3,t_transfer,NA,SKIP,"sin NEW_WEIGHTS_LOCAL; se recarga el mismo model_path"
dynamic-loader,3,t_rollout,2.81,OK,"unload+load via orchestrator"
dynamic-loader,3,t_ready,0.00,OK,"sin pods nuevos: el swap es intra-proceso"
dynamic-loader,3,t_gap_max,NA,OK,"hueco max en /benchmark/latency_ms (interrupcion percibida)"
dynamic-loader,3,t_rollback,2.67,OK,"reload pesos originales"
