pattern,rep,stage,seconds,status,notes
overlay,1,t_publish,NA,SKIP,"artefacto pre-publicado (tag n/a)"
overlay,1,t_rollout,0.75,OK,"invalidacion marker capa deps (edge)"
overlay,1,t_ready,174.14,OK,"re-descarga de la capa + arranque"
overlay,1,t_gap_max,NA,OK,"hueco max en /benchmark/latency_ms (interrupcion percibida)"
overlay,1,t_rollback,NA,SKIP,"el rollback de capa equivale a otra invalidacion+restart (simetrico a t_ready)"
overlay,2,t_publish,NA,SKIP,"artefacto pre-publicado (tag n/a)"
overlay,2,t_rollout,0.74,OK,"invalidacion marker capa deps (edge)"
overlay,2,t_ready,3763.39,FAIL,"re-descarga de la capa + arranque"
overlay,2,t_gap_max,NA,OK,"hueco max en /benchmark/latency_ms (interrupcion percibida)"
overlay,2,t_rollback,NA,SKIP,"el rollback de capa equivale a otra invalidacion+restart (simetrico a t_ready)"
overlay,3,t_publish,NA,SKIP,"artefacto pre-publicado (tag n/a)"
overlay,3,t_rollout,0.78,OK,"invalidacion marker capa deps (edge)"
overlay,3,t_ready,164.22,OK,"re-descarga de la capa + arranque"
overlay,3,t_gap_max,NA,OK,"hueco max en /benchmark/latency_ms (interrupcion percibida)"
overlay,3,t_rollback,NA,SKIP,"el rollback de capa equivale a otra invalidacion+restart (simetrico a t_ready)"
